Channel,tstat,p
Fp1,-0.620484664272323,0.535054540303419
AF3,-0.493868946864378,0.621487563697079
F7,0.283960984035638,0.776488424904254
F3,1.0063469227244,0.314448103210473
FC1,-1.48933240010256,0.136658102305969
FC5,0.665702630975975,0.505726928538331
T7,2.34048574496415,0.0194189886456837
C3,-0.577538776799098,0.563682031082074
CP1,-0.265594400695133,0.79059643384284
CP5,2.2720370826919,0.0232575865683628
P7,2.37775692057638,0.0175715338771036
P3,2.36154215249473,0.0183554127039146
Pz,-0.266386917441828,0.789986217199193
PO3,0.353356441994111,0.723882234206192
O1,0.340758045404551,0.733344358497059
Oz,-0.421145254820823,0.673723138398892
O2,-1.37268062681063,0.170103722939808
PO4,-0.622160270022739,0.53395264664082
P4,-0.550080171491826,0.582364994401656
P8,0.402486219093406,0.687396680211461
CP6,0.0790910303150553,0.936973177692024
CP2,-0.528642112462355,0.597149816419768
C4,-0.508648755211041,0.611090339591435
T8,0.739051117515126,0.460018003727898
FC6,-0.385699469294351,0.699786443715185
FC2,-2.44446663298231,0.0146472968529882
F4,0.128379093022183,0.897870117012396
F8,0.0881838349133755,0.929745025659948
AF4,0.470454339173476,0.638114472605757
Fp2,-0.174141383893531,0.861783217968615
Fz,-0.475881561044497,0.634243890326556
Cz,-2.29373863731621,0.0219747198086634
